Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('Day Street', 'Dolores Street')",-122.4243235,37.7430339,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.215587,90.4387895,0.010980899,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('Day Street', 'Sanchez Street')",-122.428806,37.742764,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7023086,90.01435673,0.000465555,0.000120906,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Desmond Street', 'Sunnydale Avenue')",-122.4061219,37.7091458,4,4,1,1,0,0,1,1,0,4,0,4,no,None,143.1426507,90.48898871,0.003681962,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Dewey Boulevard', 'Dorantes Avenue', 'Pacheco Street')",-122.4613865,37.745574,6,6,1,1,0,0,1,1,0,6,0,6,no,no,225.6381422,134.3612599,1.012504041,0.001043082,-1,-1,no,0,0,yes,"{'tertiary': 2, 'residential': 2, 'cycleway': 7}","{'tertiary': 2, 'residential': 2, 'cycleway': 7}",25,25,25,25,0,6,0,0,6,0
"('Diamond Street', 'Elizabeth Street')",-122.436377,37.75196,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.42451188,90.14964425,0.000171938,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Diamond Street', 'Jersey Street')",-122.4362274,37.7503578,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.49042919,90.7496718,0.020936008,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Divisadero Street', 'Filbert Street')",-122.442299,37.7971881,4,4,1,1,0,0,1,1,0,4,0,4,no,no,162.3756774,90.06875016,0.000285662,1.00E-05,-1,-1,no,0,0,yes,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Divisadero Street', 'Greenwich Street')",-122.4424877,37.7981217,4,4,1,1,0,0,2,1,0,4,0,4,no,None,162.3777387,91.15304272,0.143472137,0,-1,-1,no,0,0,yes,"{'residential': 1, 'secondary': 1, 'cycleway': 6}","{'residential': 1, 'secondary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Divisadero Street', 'Jefferson Street')",-122.4438106,37.8046451,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.42048524,90.06305211,0.00033245,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Divisadero Street', 'Union Street')",-122.4421107,37.7962559,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3762309,90.07394771,3.42E-05,0,-1,-1,no,0,0,yes,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Dolores Street', 'Duncan Street')",-122.4246308,37.74623545,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.1324658,90.34674891,0.039131048,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('Dolores Street', 'Jersey Street')",-122.4250915,37.7510318,3,4,2,1,0,0,2,1,0,3,0,4,no,None,162.1344841,90.06096782,0.004226246,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,1,0,2,2,0
"('Dolores Street', 'Liberty Street')",-122.4257071,37.7574353,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.1459823,90.40488564,0.007389882,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('Dolores Street', 'Valley Street')",-122.4244773,37.74463505,4,4,2,1,0,0,2,1,0,4,0,4,no,None,162.1463523,90.08881896,0.006775272,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,2,2,0,2,2,0
"('Douglass Street', 'Elizabeth Street')",-122.4385681,37.7518327,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6906081,90.25247965,0.002345326,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Duboce Avenue', 'Fillmore Street')",-122.4299423,37.7694755,2,3,1,1,5,5,1,1,0,2,0,3,no,None,60.01073575,93.50437964,0.412164082,0,68.65351464,6.741538221,no,2,0,yes,"{'residential': 2, 'cycleway': 2, 'track': 5}","{'residential': 2, 'cycleway': 3, 'track': 7}",25,25,25,25,0,2,0,0,2,1
"('Duncan Street', 'Sanchez Street')",-122.429116,37.74596,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.704971,90.19300849,0.001916106,9.92E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('East Laverne Lane', 'Laverne Avenue')",-122.5346189,37.8936567,4,4,1,1,0,0,1,1,0,4,0,4,no,None,134.3561369,83.39202572,0.944594312,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Edgewood Avenue', 'Wildomar Street')",-122.5491142,37.9005601,3,3,1,1,0,0,1,1,0,3,0,3,no,None,173.5234615,89.25883087,0.310407037,0.088404536,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('El Camino Drive', 'Estrada Lane')",-122.5059209,37.9183049,3,3,1,1,0,0,1,1,0,3,0,3,no,None,193.1579533,98.75343072,0.362527814,0.091204,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('El Camino del Mar', 'Lake Street')",-122.4921003,37.78638625,3,3,1,1,0,0,1,1,0,3,0,3,no,None,171.3687539,112.8445551,0.625285352,0.151872078,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,1,2,0,1,2,0
"('El Camino del Mar', 'McLaren Avenue')",-122.4901461,37.7864144,3,3,2,1,0,0,2,1,0,3,0,3,no,None,87.34688579,119.9747313,0.742338782,0.170777812,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 3}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,2,1,0,1,2,0
"('Elizabeth Street', 'Noe Street')",-122.431947,37.752226,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6192695,90.36415485,0.002352002,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Elizabeth Street', 'San Jose Avenue')",-122.4215431,37.7528694,3,3,1,1,0,0,1,1,0,3,0,3,no,None,162.2395156,98.77714341,0.225281283,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Elizabeth Street', 'Sanchez Street')",-122.429731,37.752362,3,4,1,1,0,0,1,1,0,3,0,4,no,None,160.6433167,93.21996937,0.414298428,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,1
"('Elizabeth Street', 'Vicksburg Street')",-122.4286276,37.7523843,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.330605,91.4752217,0.024797879,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,1,0,2,1
"('Ellsworth Street', 'Eugenia Avenue')",-122.4145663,37.740348,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.5211339,90.21384877,0.001521968,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,1,0,2,1
"('Ellsworth Street', 'Jarboe Avenue')",-122.414613,37.738384,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.6242032,95.97445197,0.63793917,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Ellsworth Street', 'Powhattan Avenue')",-122.4144673,37.7415687,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.5540705,91.82395312,0.024843476,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,1,0,2,1
"('Elsie Street', 'Eugenia Avenue', 'Virginia Avenue')",-122.4188971,37.7410119,4,5,1,1,0,0,1,1,0,4,0,5,no,None,111.8654504,163.7355282,0.698162967,0,-1,-1,no,0,0,yes,"{'residential': 3, 'cycleway': 7}","{'residential': 3, 'cycleway': 8}",25,25,25,25,0,4,0,0,4,1
"('Elsie Street', 'Santa Marina Street')",-122.419818,37.739307,3,3,1,1,0,0,1,1,0,3,0,3,no,None,104.9721617,90.21625004,0.024027617,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,3,0,0,3,0
"('Esmeralda Avenue', 'Peralta Avenue')",-122.4091712,37.7432579,4,5,1,1,0,0,1,1,0,4,0,5,no,None,152.8633939,109.7693804,1.974816676,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,5,0
"('Ethel Avenue', 'Evergreen Avenue')",-122.53746,37.8956993,4,4,1,1,0,0,1,1,0,4,0,4,no,None,214.4378424,96.55472096,0.331797867,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Eugenia Avenue', 'Moultrie Street')",-122.4157874,37.740407,3,3,1,1,0,0,1,1,0,3,0,3,no,None,160.5362957,90.08940532,0.000434887,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,2,1,0,2,1
"('Eugenia Avenue', 'Winfield Street')",-122.419467,37.741233,4,3,1,1,0,0,1,1,0,4,0,3,no,None,180.4052352,90.37800779,0.011185735,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,1,0,3,0
"('Eugenia Avenue', 'Wool Street')",-122.4170274,37.740467,4,4,1,1,0,0,1,1,0,4,0,4,no,None,165.3666133,98.99028637,0.504356862,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Evergreen Avenue', 'Melrose Avenue')",-122.5433857,37.8960161,3,3,1,1,0,0,1,1,0,3,0,3,no,None,153.595014,103.9240847,0.257387484,6.12E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Felton Street', 'San Bruno Avenue')",-122.4046191,37.7300436,4,4,1,1,0,0,1,1,0,3,0,3,no,None,168.7459595,177.6190356,0.054143793,0.000110117,-1,-1,no,0,0,yes,"{'motorway_link': 1, 'secondary': 1, 'residential': 1, 'cycleway': 4}","{'motorway_link': 1, 'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,1,3,0,1,3,0
"('Filbert Street', 'Polk Street')",-122.4225432,37.799696,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3515988,90.12004747,0.001348071,0.000434082,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Filbert Street', 'Scott Street')",-122.4406318,37.7974001,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3774361,90.0717437,6.24E-05,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Fitzgerald Avenue', 'Hawes Street')",-122.3894647,37.7199264,4,4,1,1,0,0,1,1,0,4,0,4,no,None,22.33723114,94.03568698,0.274077979,0.003571808,39.8716087,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Fitzgerald Avenue', 'Ingalls Street')",-122.3913223,37.7209788,4,4,1,1,0,0,1,1,0,4,0,4,no,None,197.3910628,90.9825104,0.012315413,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Flower Street', 'Patterson Street')",-122.405192,37.742323,3,3,1,1,0,0,1,1,0,3,0,3,no,None,74.96283293,96.48292819,0.004913779,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Francisco Street', 'Franklin Street')",-122.4265859,37.803007,4,4,1,1,0,0,1,1,0,4,0,4,no,no,162.3578574,90.05955224,0.000377377,8.49E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Front Street', 'Green Street')",-122.4002641,37.8006154,4,4,1,1,0,0,1,1,0,4,0,4,no,None,175.6146702,95.03888893,0.320068352,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Front Street', 'Jackson Street')",-122.399511,37.7969319,4,3,2,1,0,0,2,1,0,4,0,3,no,None,25.99875684,93.45862514,1.842550349,2.65E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 3}",25,25,25,25,1,2,1,1,2,0
"('Galvez Avenue', 'Mendell Street')",-122.385835,37.739609,3,3,1,1,0,0,1,1,0,3,0,3,no,None,190.9509355,92.84081103,0.065368376,0.000114689,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Gates Street', 'Powhattan Avenue')",-122.4138417,37.7415218,4,4,1,1,0,0,1,1,0,4,0,4,no,None,153.285715,91.84887484,0.022747645,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Gilman Avenue', 'Hawes Street')",-122.39002,37.719298,4,4,2,1,0,0,2,1,0,4,0,4,no,None,22.31791333,90.73239119,0.005422504,8.31E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Gilmartin Drive', 'Tiburon Boulevard')",-122.4742744,37.8861056,3,3,1,1,0,1,1,1,0,3,0,3,no,None,214.2572422,91.75579207,0.245420747,0,-1,93.0783641,no,0,0,yes,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4, 'track': 1}",25,25,25,25,0,3,0,0,3,0
"('Gladys Street', 'Santa Marina Street')",-122.422255,37.7403035,3,2,1,1,0,0,1,1,0,3,0,2,no,None,166.508549,90.33942879,0.002979133,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 1, 'cycleway': 3}",25,25,25,25,0,2,1,0,2,0
"('Glover Street', 'Jones Street')",-122.4153058,37.7972947,2,3,1,1,0,0,1,1,0,2,0,3,no,None,162.3308271,90.08652349,3.996581358,0,-1,-1,no,0,0,yes,"{'residential': 1, 'cycleway': 4}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,2,0,0,2,1
"('Graham Street', 'Moraga Avenue')",-122.4590239,37.7977964,3,3,1,1,0,0,1,1,0,3,0,3,no,no,92.062604,90.14847232,0.012636898,0.005870539,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Great Highway', 'Skyline Boulevard')",-122.5029726,37.7247669,4,4,3,1,0,0,3,1,0,4,0,4,no,None,131.8406696,171.178549,0.767775844,0,-1,-1,no,0,0,yes,"{'primary': 1, 'trunk': 1, 'primary_link': 1, 'cycleway': 4}","{'primary': 2, 'trunk': 1, 'cycleway': 4}",45,45,45,45,3,0,1,3,0,1
"('Green Street', 'Pierce Street')",-122.4386073,37.7957444,4,4,1,1,0,0,1,1,0,4,0,4,no,no,162.4031973,90.10075981,0.001348158,0.000409583,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Green Street', 'Steiner Street')",-122.4369623,37.7959535,4,4,1,1,0,0,1,1,0,4,0,4,no,no,16.77692309,90.08744632,0.013500928,0.008306332,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Greenwich Street', 'Laguna Street')",-122.4309516,37.799588,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.41394723,90.07972634,0.000148784,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Greenwich Street', 'Octavia Street')",-122.4293098,37.7997967,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.41038523,90.04955342,8.53E-05,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Greenwich Street', 'Pierce Street')",-122.4391739,37.7985429,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3760018,90.05049685,0.000451962,6.67E-06,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Greenwich Street', 'Scott Street')",-122.4408204,37.7983336,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3751724,90.06596896,0.000453178,4.33E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Greenwich Street', 'Steiner Street')",-122.4375306,37.7987517,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3774509,90.03480805,0.002104687,4.97E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Hacienda Drive', 'Trestle Glen Boulevard')",-122.4810295,37.9025763,3,3,1,1,0,0,1,1,0,3,0,3,no,None,172.6320613,111.0451511,0.367247973,0.060584808,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Hagiwara Tea Garden Drive', 'Martin Luther King Junior Drive')",-122.4698197,37.7692147,3,2,1,1,0,0,2,1,0,3,0,2,no,None,147.0488079,94.20738099,0.287553971,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'unclassified': 1, 'cycleway': 3}","{'tertiary': 1, 'cycleway': 2}",25,15,25,25,0,2,1,0,2,0
"('Hagiwara Tea Garden Drive', 'Music Concourse Drive')",-122.4670863,37.7717574,2,1,1,1,0,0,1,1,0,1,0,1,no,None,182.5978206,81.16985448,0.665540089,0.000358189,-1,-1,no,0,0,yes,"{'unclassified': 2, 'cycleway': 2}","{'unclassified': 1, 'cycleway': 2}",15,15,15,15,0,0,2,0,0,1
"('Hamilton Drive', 'Shelter Bay Avenue')",-122.5186694,37.8934569,4,4,1,1,0,0,1,1,0,4,0,4,no,None,214.9795067,128.7658846,0.395855588,0.000105459,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Hanover Street', 'Whittier Street')",-122.4470314,37.7078466,4,4,1,1,0,0,1,1,0,4,0,4,no,None,17.13348584,91.1148273,0.030067774,0.000246962,46.94053949,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Harrison Boulevard', 'Hitchcock Street')",-122.4761594,37.7985408,2,3,1,1,0,0,1,1,0,2,0,3,no,None,108.7407545,104.4435604,0.207989203,0.004663806,-1,-1,no,0,0,yes,"{'residential': 1, 'cycleway': 3}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,0,0,2,1
"('Hawes Street', 'Hollister Avenue')",-122.390564,37.718688,4,4,1,1,0,0,1,1,0,4,0,4,no,None,166.1729716,92.56794303,0.013466933,0.000164484,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Hawes Street', 'Ingerson Avenue')",-122.3911326,37.7180504,4,4,1,1,0,0,1,1,0,4,0,4,no,None,18.64484185,93.30073927,0.113185598,0.004430941,65.3492672,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Hawes Street', 'Jamestown Avenue')",-122.3915753,37.7175404,3,4,2,1,0,0,1,1,0,3,0,4,no,None,176.7784268,109.0118181,0.323475995,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 2, 'cycleway': 5}","{'tertiary': 1, 'residential': 2, 'cycleway': 6}",40,25,40,25,1,3,0,1,4,0
"('Hawthorne Street', 'Laverne Avenue')",-122.5408941,37.8943626,3,3,1,1,0,0,1,1,0,3,0,3,no,None,208.7082866,96.53962598,0.735396627,0.241200949,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Hermann Street', 'Palm Lane')",-122.4260825,37.770759,3,3,1,1,0,0,1,1,0,3,0,3,no,None,162.7600947,90.45059299,0.047059037,0,-1,-1,no,0,0,yes,"{'residential': 1, 'living_street': 1, 'cycleway': 4}","{'residential': 1, 'living_street': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Hollister Avenue', 'Ingalls Street')",-122.392418,37.71974,4,4,1,1,0,0,1,1,0,4,0,4,no,None,197.7566222,90.2088689,0.00059147,0.000194912,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Hollister Avenue', 'Jennings Street')",-122.3943115,37.7207955,4,4,1,1,0,0,1,1,0,4,0,4,no,None,196.1044921,91.9250551,0.084998036,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Homestead Boulevard', 'Laverne Avenue')",-122.5345319,37.8930616,3,3,1,1,0,0,1,1,0,3,0,3,no,None,24.096672,135.382997,1.105722265,0.550181776,66.61112012,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('Hospital Street', 'Southern Connector Street')",-122.3906605,37.7650154,2,2,1,1,0,0,1,1,0,2,0,2,no,None,18.26684546,102.3243832,0.399412155,0.221456875,-1,-1,no,0,0,yes,"{'unclassified': 1, 'residential': 1, 'cycleway': 2}","{'unclassified': 1, 'residential': 1, 'cycleway': 2}",25,25,25,25,0,2,0,0,2,0
"('Hudson Avenue', 'Mendell Street')",-122.386399,37.738983,4,4,1,1,0,0,1,1,0,4,0,4,no,None,197.6952033,90.92205975,0.063327431,8.01E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Huron Avenue', 'Laura Street')",-122.451344,37.710671,4,4,1,1,0,0,1,1,0,4,0,4,no,None,226.115438,90.24033054,0.002023785,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Huron Avenue', 'Lawrence Avenue')",-122.451906,37.710231,4,4,1,1,0,0,1,1,0,4,0,4,no,None,226.07128,90.05716255,0.001720097,3.28E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Ingalls Street', 'Ingerson Avenue')",-122.392982,37.719114,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.44199321,90.25471817,0.000691098,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Ingerson Avenue', 'Jennings Street')",-122.3948724,37.720189,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.51631936,90.53566317,0.003903658,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Jamestown Avenue', 'Jennings Street')",-122.3954466,37.7195506,4,4,3,1,0,0,3,1,0,4,0,4,no,None,198.3278796,90.16732247,0.029575707,0,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
